Name,Surname,Group,ID,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Axel,Lara,A,2338166,96,75,84,62,90,61,95,73,52,91,82,44
Lillian,Williamson,A,2380727,60,70,46,57,56,56,72,84,56,98,69,77
Jude,Luna,A,2324274,92,95,44,70,99,45,69,75,43,56,72,87
Misael,Fitzgerald,A,2383396,47,86,77,42,90,45,99,81,62,82,83,60
Raquel,Bender,A,2335331,94,72,90,93,58,84,71,76,58,97,69,43
Makenna,Craig,A,2328703,64,79,45,94,52,69,41,83,96,61,40,89
Gauge,Fritz,A,2341727,58,63,85,60,69,87,71,68,78,90,56,48
Rory,Thomas,A,2346935,94,76,85,52,67,84,44,76,59,63,93,62
Cruz,Key,A,2380934,50,90,65,68,40,69,86,92,65,92,84,49
Matthew,Walton,A,2319402,62,75,95,67,50,57,48,99,90,83,52,89
