Name,Surname,Group,ID,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Lainey,Sampson,C,2384456,54,69,62,84,64,63,94,95,42,97,85,94
Laila,Poole,C,2381257,75,46,44,73,80,97,51,50,66,89,58,58
Aidan,Williams,C,2319072,69,75,60,87,55,55,40,56,46,64,42,82
Yadira,Harvey,C,2354033,70,83,82,40,87,81,93,92,98,89,51,47
Teagan,Spears,C,2351679,90,47,60,81,43,90,96,50,99,82,60,92
Bria,Erickson,C,2378793,49,97,97,72,93,94,80,43,48,96,66,55
Cassie,Duran,C,2394937,73,44,60,76,43,49,41,63,96,63,94,62
Esteban,Howard,C,2317534,99,56,51,41,53,90,63,98,75,88,95,98
Jaden,Jacobson,C,2373795,51,73,91,71,83,76,43,62,94,72,87,97
Maria,Prince,C,2393613,74,91,98,78,85,95,42,77,57,93,96,51
