Name,Surname,Group,ID,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Santos,Montoya,B,2367675,85,56,89,95,95,71,99,42,60,55,46,87
Carleigh,Mcguire,B,2373948,78,71,57,86,61,89,71,70,85,55,90,60
Joanna,Gross,B,2310732,48,45,69,48,95,94,52,93,88,41,79,89
Saige,Clayton,B,2380565,69,73,81,69,70,87,54,44,84,71,74,79
Griffin,Wall,B,2379870,92,79,63,89,77,81,90,50,51,94,65,74
Trent,Kelley,B,2333900,88,57,79,73,65,92,58,84,67,80,94,52
Jalen,Yates,B,2330973,82,89,56,66,69,72,50,99,74,77,46,82
Aniyah,Bradford,B,2337757,56,71,89,55,82,46,88,45,80,66,41,77
Phillip,Mckinney,B,2365637,93,52,40,49,92,75,77,83,50,52,81,89
Adolfo,Rose,B,2320089,84,52,54,79,75,40,40,95,76,55,67,88
