Name,Surname,Group,ID,Linear Algebra,Statistics,Programming,Calculus,Algebra,Game Theory,Linear Modelling,Information Theory,Big Data,Block Chains,Computer Vision,Neural Networks
Lainey,Sampson,C,2349827,64,50,64,50,80,42,90,46,53,58,76,90
Laila,Poole,C,2355611,59,52,42,96,98,55,88,67,87,92,94,68
Aidan,Williams,C,2372583,75,98,62,82,52,93,60,51,65,65,65,75
Yadira,Harvey,C,2380593,57,44,57,86,46,52,74,59,85,66,82,41
Teagan,Spears,C,2396032,46,62,81,52,64,77,65,79,69,89,99,45
Bria,Erickson,C,2343715,53,52,70,48,44,87,46,46,47,52,96,64
Cassie,Duran,C,2394697,68,52,74,87,82,65,87,93,62,68,89,40
Esteban,Howard,C,2337192,47,56,86,64,98,64,62,68,40,83,63,85
Jaden,Jacobson,C,2367112,95,52,54,52,52,78,74,71,50,71,60,99
Maria,Prince,C,2327573,41,86,65,63,96,88,61,74,83,89,85,75
