Name,Surname,Group,ID,Calculus,Statistics,Linear Algebra,Programming,Information Theory,Databases,Blockchains,Computer Vision,Neural Networks
Santos,Montoya,B,2311251,48,53,47,57,46,97,96,60,40
Carleigh,Mcguire,B,2316281,87,99,54,51,64,92,78,80,90
Joanna,Gross,B,2330590,77,43,91,59,71,65,78,98,78
Saige,Clayton,B,2357355,70,98,97,91,87,51,47,90,78
Griffin,Wall,B,2381992,99,85,95,96,81,61,56,99,95
Trent,Kelley,B,2354904,88,51,57,90,98,59,97,94,81
Jalen,Yates,B,2318799,57,60,71,66,42,43,69,92,80
Aniyah,Bradford,B,2316062,96,93,51,69,76,46,93,72,66
Phillip,Mckinney,B,2326943,63,90,72,45,90,51,95,76,97
Adolfo,Rose,B,2391115,52,89,58,52,68,57,86,58,46
